Title,Release Year,Locations,Latitude,Longitude,Director,Writer,Actor 1,Actor 2,Actor 3,Address,Full Address,color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,Genre,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,MTW Status,,genres,imdb_score
High Crimes,2002,391 Pennsylvania Avenue at 19th Street,37.75139,-122.393,Carl Franklin,Yuri Zeltser,Ashley Judd,Morgan Freeman,,"391 Pennsylvania Avenue San Francisco California,",,Color,114,115,73,505,Adam Scott,11000,41543207,Crime,Morgan Freeman,High Crimes,30077,15571,Bruce Davison,English,USA,PG-13,42000000,3000,6.3,2.35,893,Matching,,,
40 Days and 40 Nights,2002,Café Trieste (609 Vallejo),37.79461,-122.44,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,"609 Vallejo San Francisco California,",,Color,140,96,36,486,Vinessa Shaw,1000,37939782,Comedy,Emmanuelle Vaugier,40 Days and 40 Nights,62272,3294,Paulo Costanzo,English,USA,R,17000000,580,10.7,1.85,2000,Matching,,,
The Princess Diaries,2001,2601 Lyon Street,37.79856,-122.447,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,"2601 Lyon Street San Francisco California,",,Color,108,111,0,529,Hector Elizondo,11000,108244774,Comedy,Anne Hathaway,The Princess Diaries,94049,13645,Heather Matarazzo,English,USA,G,37000000,995,16,1.85,0,Matching,,,
Sweet November,2001,Blooms Saloon (18th Street between Missouri and Texas Streets),37.76279,-122.393,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,"18th Street San Francisco California,",,Color,94,119,7,903,Charlize Theron,18000,25178165,Drama,Keanu Reeves,Sweet November,70292,29484,Frank Langella,English,USA,PG-13,40000000,9000,6.7,1.85,8000,Matching,,,
Boys and Girls,2000,1122 Folsom Street,37.77639,-122.409,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,"1122 Folsom Street San Francisco California,",,Color,67,94,7,95,Amanda Detmer,3000,20627372,Comedy,Alyson Hannigan,Boys and Girls,13661,3451,Tsianina Joelson,English,USA,PG-13,16000000,240,11.3,1.85,487,Matching,,,
Groove,2000,435 23rd Street at Illinois,37.75437,-122.405,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,,"435 23rd Street San Francisco California,",,Color,46,86,7,17,Ari Gold,328,1114943,Drama,Rachel True,Groove,3562,407,Denny Kirkwood,English,USA,R,500000,27,6.5,1.85,0,Matching,,,
Romeo Must Die,2000,Chinatown,37.7943,-122.406,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,,"Chinatown San Francisco California,",,Color,70,115,43,775,Delroy Lindo,5000,55973336,Action,Jet Li,Romeo Must Die,57040,9082,Aaliyah,English,USA,R,25000000,848,6.1,2.35,0,Matching,,,
Edtv,1999,1138 Filbert Street,37.79677,-122.446,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,"1138 Filbert Street San Francisco California,",,Color,115,122,2000,1000,Adam Goldberg,11000,22362500,Comedy,Matthew McConaughey,Edtv,35599,15275,Clint Howard,English,USA,PG-13,55000000,1000,18.4,1.85,641,Matching,,,
Stigmata,1999,19th and Kansas St.,37.75324,-122.402,Rupert Wainwright,Tom Lazarus,Patricia Arquette,Gabriel Byrne,,"19th and Kansas St. San Francisco California,",,Color,131,103,9,573,Enrico Colantoni,826,50041732,Horror,Nia Long,Stigmata,54390,3004,Portia de Rossi,English,USA,R,29000000,724,6.2,2.35,0,Matching,,,
Doctor Dolittle,1998,2100 Green Street,37.79921,-122.411,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,"2100 Green Street San Francisco California,",,Color,73,85,84,595,Raven-Symoné,1000,144156464,Comedy,Oliver Platt,Doctor Dolittle,74343,4166,Peter Boyle,English,USA,PG-13,71500000,1000,10.8,1.85,694,Matching,,,
Patch Adams,1998,Presidio (Golden Gate National Recreation Area),37.79875,-122.465,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,,"Presidio San Francisco California,",,Color,55,115,293,878,Philip Seymour Hoffman,49000,135014968,Biography,Robin Williams,Patch Adams,80580,74382,Monica Potter,English,USA,PG-13,50000000,22000,6.7,2.35,0,Matching,,,
Sphere,1998,S.S. Jeremiah O'Brien,39.78373,-100.446,Barry Levinson,Kurt Wimmer,Dustin Hoffman,Sharon Stone,,"S.S. Jeremiah O'Brien San Francisco California,",,Color,108,134,272,215,James Pickens Jr.,548,36976367,Drama,Peter Coyote,Sphere,81611,1044,Huey Lewis,English,USA,PG-13,75000000,270,19.7,2.35,0,Matching,,,
The Game,1997,1 Bush Street,37.787157,-122.432378,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,"1 Bush Street San Francisco California,",,Color,157,129,21000,283,Armin Mueller-Stahl,495,48265581,Drama,Deborah Kara Unger,The Game,261069,1397,Charles Martinet,English,USA,R,50000000,294,7.8,2.35,25000,Matching,,Drama,7.8
George of the Jungle,1997,755 Vallejo Street,37.79461,-122.44,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,"755 Vallejo Street San Francisco California,",,Color,53,92,39,458,Abraham Benrubi,3000,105263257,Action,Brendan Fraser,George of the Jungle,56168,4518,Holland Taylor,English,USA,PG,55000000,562,5.4,1.85,5000,Matching,,Action,5.4
