Title,Release Year,Locations,Latitude,Longitude,Director,Writer,Actor 1,Actor 2,Actor 3,Address,Full Address
Chance- Season 1 ep102,2016,"Betelnut restaurant, 2030 Union St.",37.79774,-122.43,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,"2030 Union St. San Francisco California,",
Chance- Season 1 ep102,2016,"Betelnut restaurant, 2030 Union St.",37.79774,-122.43,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,"2030 Union St. San Francisco California,",
Sense8 - Season 2,2016,"Billy Goat Hill, Castro St. & 30th St.",37.74141,-122.433,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,"Billy Goat Hill San Francisco California,",
Invasion of the Body Snatchers,1978,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)",37.80376,-122.415,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,"1025 Columbus Avenue San Francisco California,",
Looking Season 2 ep 204,2015,"Bi-Rite Creamery, 3692 18th Stret",39.78373,-100.446,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"3692 18th Stret San Francisco California,",
Class Action,1991,Bix Restaurant (56 Gold Street),37.79685,-122.403,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,,"56 Gold Street San Francisco California,",
Final Analysis,1992,Bix Restaurant (56 Gold Street),37.79681,-122.402,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,"57 Gold Street San Francisco California,",
Pushing Dead,2016,"Blind Cat, 3050 24th Street, San Francisco",37.75297,-122.407,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,"3050 24th Street San Francisco San Francisco California,",
Sweet November,2001,Blooms Saloon (18th Street between Missouri and Texas Streets),37.76279,-122.393,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,"18th Street San Francisco California,",
Chance- Season 1 ep103,2016,"Blue Danube Café, 306 Clement",37.78315,-122.463,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,"306 Clement San Francisco California,",
"Murder in the First, Season 2",2015,Boardman Place between Bryant and Brannan Streets,37.7744,-122.403,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"Boardman Place San Francisco California,",
GirlBoss,2017,"Boulevard Restaurant, 1 Mission St.",39.78373,-100.446,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,"Boulevard Restaurant San Francisco California,",
Sudden Impact,1983,"Bowles Franklin Galleries (765 Beach Street, Fisherman's Wharf)",37.8077,-122.412,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle,"765 Beach Street San Francisco California,",
Looking Season 2 ep 203,2015,"Boxer Stadium, 166 Havelock Street",37.72675,-122.443,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"166 Havelock Street San Francisco California,",
Godzilla,2014,Broadway & Columbus,37.79584,-122.423,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,"Broadway San Francisco California,",
Godzilla,2014,Broadway & Sansome,37.80311,-122.403,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,"Sansome San Francisco California,",
Red Widow,2013,Broadway & Taylor,37.78848,-122.412,Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,"Taylor San Francisco California,",
A Night Full of Rain,1978,Broadway (North Beach),37.79584,-122.423,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,"Broadway San Francisco California,",
Etruscan Smile,2017,Broadway @ Jones Streets,39.78373,-100.446,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"Jones Streets San Francisco California,",
Freebie and the Bean,1974,Broadway and Columbus Avenue (North Beach),37.80118,-122.409,Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,"North Beach San Francisco California,",
San Andreas,2015,Broadway and Kearney,39.78373,-100.446,Brad Peyton,Allan Loeb,Dwayne Johnson,,,"Kearney San Francisco California,",
San Andreas,2015,Broadway and Kearney,39.78373,-100.446,Brad Peyton,Allan Loeb,Dwayne Johnson,,,"Kearney San Francisco California,",
Summertime,2015,Broadway and Taylor St Intersection,37.78826,-122.412,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,"Taylor St San Francisco California,",
Time After Time,1979,Broadway at Osgood Street (North Beach),39.78373,-100.446,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,"Osgood Street San Francisco California,",
Ant-Man,2015,Broadway between Powell and Davis,39.78373,-100.446,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,"Powell San Francisco California,",
Ant-Man,2015,Broadway between Powell and Davis,39.78373,-100.446,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,"Davis San Francisco California,",
Alcatraz,2012,Broadway from Mason to Taylor,37.78848,-122.412,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,"Taylor San Francisco California,",
Swing,2003,Broadway Studios (435 Broadway at Montgomery Street),37.79798,-122.405,Martin Guigui,Mary Keil,Constance Brenneman,,,"Broadway Studios San Francisco California,",
The OA Part II,2019,Broadway Tunnel,37.79645,-122.417,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,"Broadway Tunnel San Francisco California,",
The Princess Diaries,2001,Broadway Tunnel (Broadway between Powell and Larkin),37.79645,-122.417,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,"Broadway Tunnel San Francisco California,",
Invasion of the Body Snatchers,1978,Broadway Tunnel (Russian Hill),37.79771,-122.415,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,"Russian Hill San Francisco California,",
Magnum Force,1973,Broadway Tunnel (Russian Hill),37.79771,-122.415,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,"Russian Hill San Francisco California,",
Dr. Dolittle 2,2001,"Broadway, Between Franklin & Laguna Streets",37.80513,-122.432,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,,"Laguna Street San Francisco California,",
Bullitt,1968,Brocklebank Apartments (1000 Mason Street),37.80498,-122.449,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,"1000 Mason Street San Francisco California,",
Sudden Fear,1952,Brocklebank Apartments (1000 Mason Street),37.80498,-122.449,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Gloria Grahame,"1001 Mason Street San Francisco California,",
The Woman In Red,1984,Brocklebank Apartments (1000 Mason Street),37.80498,-122.449,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,,"1002 Mason Street San Francisco California,",
Vertigo,1958,Brocklebank Apartments (1000 Mason Street),37.80498,-122.449,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,"1003 Mason Street San Francisco California,",
About a Boy,2014,Broderick from Fulton to McAlister,39.78373,-100.446,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,"McAlister San Francisco California,",
Chance- Season 1 ep107,2016,Buena Vista betweeen Upper Terrace and Java St.,37.76695,-122.444,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,"Java St. San Francisco California,",
When a Man Loves a Woman,1994,Buena Vista Café (2765 Hyde Street),37.7964,-122.418,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,"2765 Hyde Street San Francisco California,",
Summertime,2015,Buena Vista East & Duboce; Buena Vista East & Haight,37.77016,-122.446,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,"Haight San Francisco California,",
The Last Black Man in San Francisco,2019,Buena Vista East btwn Duboce and Haight,37.77016,-122.446,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"Haight San Francisco California,",
When We Rise,2017,Buena Vista Park,37.76836,-122.441,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,"Buena Vista Park San Francisco California,",
Golden Gate,1994,Buena Vista Park (Haight Street at Buena Vista),37.76836,-122.441,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,,"Buena Vista Park San Francisco California,",
Dr. Dolittle 2,2001,"Building 924, Presidio (Golden Gate National Recreation Area)",37.79875,-122.465,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,,"Presidio San Francisco California,",
A View to a Kill,1985,"Burger Island (901 3rd Street, China Basin)",37.77946,-122.394,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,"901 3rd Street San Francisco California,",
The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",37.78989,-122.407,John Huston,John Huston,Humphrey Bogart,Mary Astor,Gladys George,"Burritt Alley San Francisco California,",
Godzilla,2014,Bush & Kearny,37.79486,-122.405,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,"Kearny San Francisco California,",
Chance- Season 1 ep104,2016,Bush and Sansome St.,37.79581,-122.402,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,"Sansome St. San Francisco California,",
Greed,1924,Bush and Sutter Streets,39.78373,-100.446,Eric von Stroheim,Eric von Stroheim,Zasu Pitts,Gibson Gowland,Jean Hersholt,"Sutter Streets San Francisco California,",
Greed,1924,Bush and Sutter Streets,39.78373,-100.446,Eric von Stroheim,Eric von Stroheim,Zasu Pitts,Gibson Gowland,Jean Hersholt,"Sutter Streets San Francisco California,",
Ant-Man and the Wasp,2018,Bush St at Mason St,37.80498,-122.449,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,"Mason St San Francisco California,",
Terminator - Genisys,2015,Bush St. at Stockton St.,37.79671,-122.408,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"Stockton St. San Francisco California,",
Golden Gate,1994,Bush Street (between Grant & Kearny Streets),37.79073,-122.404,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,,"Bush Street San Francisco California,",
Metro,1997,Bush Street at Jones,37.79047,-122.414,Thomas Carter,Randy Feldman,Eddie Murphy,,,"Jones San Francisco California,",
Woman on the Run,1950,Cable Car Signal Box (California Street at Powell Street),37.79428,-122.41,Norman Foster,Norman Foster,Ann Sheridan,Dennis O'Keefe,Robert Keith,"Powell Street San Francisco California,",
Bullitt,1968,Café Cantata (2040 Union Street),37.79774,-122.43,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,"2040 Union Street San Francisco California,",
So I Married an Axe Murderer,1993,Café Picaro 3120 16th Street,37.76501,-122.422,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,"3120 16th Street San Francisco California,",
40 Days and 40 Nights,2002,Café Trieste (609 Vallejo),37.79461,-122.44,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,"609 Vallejo San Francisco California,",
Big Eyes,2014,Caffe Trieste,37.79863,-122.407,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,"Caffe Trieste San Francisco California,",
Petulia,1968,Cala Foods (California Street and Hyde),39.78373,-100.446,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain,"Cala Foods San Francisco California,",
Godzilla,2014,California & Davis St,37.79265,-122.397,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,"Davis St San Francisco California,",
Red Widow,2013,California & Davis St,37.79265,-122.397,Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,"Davis St San Francisco California,",
Getting Even with Dad,1994,California & Grant Streets,39.78373,-100.446,Howard Dutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,"Grant Streets San Francisco California,",
Knife Fight,2013,California & Hyde Streets,39.78373,-100.446,Bill Guttentag,Bill Guttentag & Chris Lehane,Rob Lowe,Julie Bowen,Jamie Chung,"Hyde Streets San Francisco California,",
Foul Play,1978,California & Larkin Streets (Nob Hill),37.79326,-122.415,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,"Nob Hill San Francisco California,",
Dawn of the Planet of the Apes,2014,California & Powell,39.78373,-100.446,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,"Powell San Francisco California,",
Dawn of the Planet of the Apes,2014,California & Powell,39.78373,-100.446,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,"Powell San Francisco California,",
Age of Adaline,2015,California @ Montgomery,37.78748,-122.401,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,"Montgomery San Francisco California,",
Burglar,1987,California Academy of Sciences (Golden Gate Park),37.76983,-122.466,Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,,"California Academy of Sciences San Francisco California,",
The Competition,1980,California Academy of Sciences (Golden Gate Park),37.76983,-122.466,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Amy Irving,Lee Remick,"California Academy of Sciences San Francisco California,",
Time After Time,1979,California Academy of Sciences (Golden Gate Park),37.76983,-122.466,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,"California Academy of Sciences San Francisco California,",
Ballers Season 3,2017,California and Jones St.,37.79047,-122.414,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,"Jones St. San Francisco California,",
Birth of the Dragon,2016,California at Grant,39.78373,-100.446,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,"Grant San Francisco California,",
Birth of the Dragon,2016,California at Grant,39.78373,-100.446,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,"Grant San Francisco California,",
Terminator - Genisys,2015,California at Jones,37.79047,-122.414,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"Jones San Francisco California,",
Terminator - Genisys,2015,California at Larkin,37.78841,-122.419,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"Larkin San Francisco California,",
Birth of the Dragon,2016,California at Mason,39.78373,-100.446,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,"Mason San Francisco California,",
Birth of the Dragon,2016,California at Mason,39.78373,-100.446,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,"Mason San Francisco California,",
Ant-Man,2015,California between Kearney and Davis,39.78373,-100.446,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,"Davis San Francisco California,",
Ant-Man,2015,California between Kearney and Davis,39.78373,-100.446,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,"Kearney San Francisco California,",
Terminator - Genisys,2015,California between Leavenworth and Powell,39.78373,-100.446,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"Powell San Francisco California,",
Chance Season 2,2017,California between Mason and Taylor St,37.78826,-122.412,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,"Taylor St San Francisco California,",
Always Be My Maybe,2019,California Cable Car Line,37.7964,-122.418,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,"Hyde St San Francisco California,",
Dirty Harry,1971,"California Hall (625 Polk Street, Van Ness/Civic Center)",37.77939,-122.418,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,"625 Polk Street San Francisco California,",
Vertigo,1958,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)",39.78373,-100.446,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,"Palace of the Legion of Honor San Francisco California,",
The Last Black Man in San Francisco,2019,California St and Gough btwn Geary and Jones,37.77936,-122.5,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"Geary San Francisco California,",
Venom,2018,California St at Montgomery St,37.79538,-122.403,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,"Montgomery St San Francisco California,",
Venom,2018,California St btwn Drumm and Sansome,37.80311,-122.403,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,"Sansome San Francisco California,",
Ant-Man and the Wasp,2018,California St btwn Mason and Leavenworth,37.79111,-122.416,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,"Leavenworth San Francisco California,",
Dawn of the Planet of the Apes,2014,California St from Mason to Kearny,37.79486,-122.405,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,"Kearny San Francisco California,",
Need For Speed,2014,California St from Taylor to Powell,39.78373,-100.446,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,"Powell San Francisco California,",
Terminator - Genisys,2015,California St. between Drumm St. and Kearny St.,37.79526,-122.405,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"Kearny St. San Francisco California,",
Steve Jobs,2015,California St. from Jones St. to Mason St.,37.80498,-122.449,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,"Mason St. San Francisco California,",
Etruscan Smile,2017,California Street between Front and Davis,39.78373,-100.446,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"Davis San Francisco California,",
Etruscan Smile,2017,California Street between Sansome & Davis,37.80311,-122.403,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"Sansome San Francisco California,",
The Last Black Man in San Francisco,2019,California Street Hill btwn Jones and Larkin,37.78841,-122.419,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"Larkin San Francisco California,",
Quitters,2015,Cal-Mart Supermarket,39.78373,-100.446,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,"Cal-Mart Supermarket San Francisco California,",
The OA Part II,2019,Cameron House - 920 Sacramento St,37.79366,-122.404,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,"920 Sacramento St San Francisco California,",
"Murder in the First, Season 1",2014,Cameron House (920 Sacramento Street),37.79366,-122.404,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"920 Sacramento Street San Francisco California,",
Experiment in Terror,1962,Candlestick Park,39.78373,-100.446,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,"Candlestick Park San Francisco California,",
Freebie and the Bean,1974,Candlestick Park (602 Jamestown Ave.),37.71357,-122.388,Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,"602 Jamestown Ave San Francisco California,",
Getting Even with Dad,1994,Candlestick Park (602 Jamestown Ave.),37.71357,-122.388,Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,"602 Jamestown Ave San Francisco California,",
The Fan,1996,Candlestick Park (602 Jamestown Ave.),37.71357,-122.388,Tony Scott,Phoef Sutton,Robert De Niro,Wesley Snipes,,"602 Jamestown Ave San Francisco California,",
The Pursuit of Happyness,2006,Candlestick Park (602 Jamestown Ave.),39.78373,-100.446,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,"Candlestick Park San Francisco California,",
Bullitt,1968,"Candlestick Park Exit, Highway 101",39.78373,-100.446,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,"Candlestick Park San Francisco California,",
"Looking ""Special""",2016,"Capital Restaurant, 839 Clay Street",37.79409,-122.407,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"839 Clay Street San Francisco California,",
The Dead Pool,1988,Carl & Cole Streets (Cole Valley),37.76581,-122.45,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,"Cole Valley San Francisco California,",
Sister Act 2: Back in the Habit,1993,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)",37.7921,-122.404,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,"555 California Street San Francisco California,",
Looking,2014,Casa Lucas Market at 2934 24th St,37.75295,-122.411,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"2934 24th St San Francisco California,",
Herbie Rides Again,1974,Castagnola's Restaurant (Fisherman's Wharf),37.80917,-122.417,Robert Stevenson,Bill Walsh,Helen Hayes,Ken Berry,Stefanie Powers,"Fisherman's Wharf San Francisco California,",
Sense8 - Season 2,2016,Castle between Union and Green,4.697201,-75.2516,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,"Union San Francisco California,",
Etruscan Smile,2017,Castle Street @ Green Street,37.79921,-122.411,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"Green Street San Francisco California,",
Tales of the City,2019,Castro and 18th St,37.76279,-122.393,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,"18th St San Francisco California,",
The Last Black Man in San Francisco,2019,Castro and Market,37.76086,-122.435,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"Castro San Francisco California,",
Tales of the City,2019,Castro District,37.76086,-122.435,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,"Castro District San Francisco California,",
When We Rise,2017,Castro St. between 17th and 18th St.,37.76279,-122.393,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,"18th St. San Francisco California,",
Steve Jobs,2015,Castro St. between 21st an Hill St,37.7561,-122.421,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,"Hill St San Francisco California,",
Looking,2014,Castro St. from Market to 18th St.,37.76279,-122.393,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"18th St. San Francisco California,",
Looking Season 2 ep 204,2015,Castro Street @ 18th street,37.76279,-122.393,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"18th street San Francisco California,",
"Looking ""Special""",2016,Castro Street between 17th & 18th,37.75971,-122.445,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"18th San Francisco California,",
Edtv,1999,"Castro Theatre (429 Castro Street, The Castro)",37.76199,-122.435,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,"429 Castro Street San Francisco California,",
A Taiwanese Tale of Two Cities,2018,"Castro Theatre, 429 Castro St.",37.76199,-122.435,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,"429 Castro St San Francisco California,",
When We Rise,2017,"Castro Theatre, 429 Castro St.",37.76199,-122.435,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,"Castro Theatre San Francisco California,",
The Conversation,1974,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)",37.80238,-122.425,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,"1101 Van Ness Avenue San Francisco California,",
Sister Act 2: Back in the Habit,1993,CCSF Alemany Campus,39.78373,-100.446,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,"CCSF Alemany Campus San Francisco California,",
Sister Act 2: Back in the Habit,1993,CCSF Alemany Campus,39.78373,-100.446,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,"CCSF Alemany Campus San Francisco California,",
Edtv,1999,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)",37.78464,-122.402,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,"Yerba Buena Gardens San Francisco California,",
Chance Season 2,2017,Central St between Haight and Page St,37.77137,-122.444,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,"Page St San Francisco California,",
Bullitt,1968,Cesar Chavez & Mission Street (Mission),37.79376,-122.393,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,"Mission San Francisco California,",
D.O.A,1950,Chambord Apartments (1298 Sacramento Street at Jones),37.79248,-122.414,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,"1298 Sacramento Street San Francisco California,",
High Crimes,2002,Chase H & Q  (1 Bush Street at Sansome),37.79094,-122.4,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,,"1 Bush Street San Francisco California,",
The Last Black Man in San Francisco,2019,"Chateau Tivoli, 1057 Steiner St",37.77919,-122.434,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"1057 Steiner St San Francisco California,",
Etruscan Smile,2017,Chaya / Perry's 132 Embarcadero,37.79308,-122.392,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"132 Embarcadero San Francisco California,",
Time After Time,1979,Chestnut & Divisadero Streets (Marina District),37.80298,-122.437,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,"Marina District San Francisco California,",
Alcatraz,2012,Chestnut St. from Larkin to Columbus,37.80145,-122.412,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,"Columbus San Francisco California,",
A View to a Kill,1985,Chinatown,37.7943,-122.406,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,"Chinatown San Francisco California,",
Basic Instinct,1992,Chinatown,37.7943,-122.406,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,"Chinatown San Francisco California,",
Boys and Girls,2000,Chinatown,37.7943,-122.406,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,"Chinatown San Francisco California,",
Dim Sum: A Little Bit of Heart,1985,Chinatown,37.7943,-122.406,Wayne Wang,Terrel Seltzer,Laureen Chew,Kim Chew,Victor Wong,"Chinatown San Francisco California,",
Flower Drum Song,1961,Chinatown,37.7943,-122.406,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,Benson Fong,"Chinatown San Francisco California,",
